1,2,3,4
67.9,57.5,61.9,6738.3
67.8,56.5,55,6355.3
67.7,55.8,48.2,6224.8
67.9,55.2,41.5,5706.8
67.6,54.8,37.1,5603.8
68,54.4,36.7,5634
67.9,53.1,40.4,6055.8
67.9,52.3,47.4,6842.8
67.8,51.9,54.6,7342.8
67.6,52.1,61.1,7891.8
67.8,52.1,68.1,8594.7
67.8,52.5,75,9034.3
68,52.5,79.4,9487.3
67.7,51.5,81.5,9802.5
67.8,50.9,78.4,9578.5
67.9,50.1,69.2,8908.3
67.7,49.6,62.6,8418.5
67.9,49,54.8,7889
67.8,48.8,47.6,7546.5
67.9,48,41.1,6844.8
68,47.8,36.7,6616.5
67.9,46.4,36.3,6737.3
67.9,45.4,40,7366
67.8,45,47,7995
67.8,44.8,53.8,8614.5
67.9,45,60.1,9107
67.7,45.2,67.3,9725
67.8,45.6,74.2,10395
67.6,45.8,78.6,10940.8
67.8,45.6,78.6,10927.8
67.9,44.4,80.4,11406.5
68,44,76.7,11104.3
67.8,43.5,71.8,10478.5
67.8,42.5,61.3,9707.8
67.9,41.9,54.6,9293.8
68,41.5,48,8900.8
67.9,40.9,41.1,8290.5
67.9,40.7,36.7,7964.3
67.9,38.8,36.3,8402.3
67.9,38.2,40.4,9050.5
67.9,37.8,47.4,9591.3
67.9,37.8,54,10335.3
67.9,38,60.9,10990.3
67.9,38.2,68.1,11805
67.9,38.6,74.6,12446.7
67.9,38.6,79.2,12987.3
67.8,37.1,81.2,13707.5
67.9,36.7,77.7,13177
67.8,36.5,72.2,12606
67.8,35.9,63,11767.8
67.8,35.1,55,11079
68,34.5,48.2,10525
67.9,34.1,41.5,9983.8
67.9,33.9,37.1,9694.5
67.9,31.5,36.1,10065.5
67.8,31,40.4,10786.8
67.9,30.8,47.2,11399.3
67.9,31,54.2,12191.7
67.9,31.2,60.9,12966.3
67.9,31.5,67.9,13668
67.9,31.7,74.6,14339.8
68,31.9,78.8,15083.3
67.7,31.9,79.6,15047.8
67.9,31.9,77.7,14797
67.8,31.7,70.4,13790.8
67.9,31.2,61.5,13063.3
67.9,30.8,54.2,12265.8
67.8,30.4,47.6,11604.5
68,30,41.1,11009
67.8,29.8,36.3,10605
73.3,29.6,36.1,11227.5
72.9,29.6,40,11646.5
72.9,29.8,46.6,12303.3
72.8,29.8,53.4,13034
72.9,30.2,60.3,13739
72.9,30.6,66.3,14442.5
72.9,31,73.2,15173.5
72.8,31.3,77.5,15742.3
72.8,32.1,79.2,15785.7
72.8,32.7,76.1,15046.3
72.9,33.3,70.4,14020.3
72.9,33.7,63.4,12950.5
72.9,33.9,55.4,12054.3
72.9,33.7,50,11497.3
72.9,34.1,40.6,10764
72.8,33.7,36.5,10367.8
72.6,34.1,36.1,10269
72.9,35.3,39.8,10305
72.9,36.3,46.8,10833
72.9,36.9,53.1,11438.8
72.9,37.5,59.7,12077.3
72.9,37.8,66.1,12628.3
72.9,38.4,72.6,13466.3
72.9,38.4,77.1,13935.8
72.9,39.6,78.8,13991.7
72.8,40.4,75.3,13329.5
72.9,41.1,70.8,12460.5
72.9,41.7,61.5,11079
73,41.7,54,10252
72.9,41.3,47.6,9684.5
72.7,41.5,40.9,9113
72.9,41.5,36.7,8842.8
72.9,42.1,36.3,8691
72.7,43.5,40,8812
72.9,44.6,46.8,9159
73,45.2,54,9641.5
73,45.8,60.1,10183
72.7,46.2,66.7,10846.5
73,46.8,73,11497.5
72.9,47,78.2,11869.3
72.9,48,79.2,11827
72.9,48.8,76.1,11259
72.6,50.1,67.9,9950.8
72.9,50.3,61.5,9261.3
72.9,50.5,54.6,8601
72.8,50.1,48,8114.8
72.9,49.8,41.5,7558.3
72.9,49.6,36.7,7224
72.9,50.3,36.9,7257.5
72.8,51.5,40.9,7367
73,52.7,47.8,7761.8
72.9,53.2,54.2,8019.3
72.9,53.6,60.9,8601
72.8,54.2,67.3,9270.5
72.6,54.8,74.8,9696.5
72.9,55,78.2,10053.7
72.9,56,80.8,10109.8
72.7,56.7,76.7,9567.5
72.9,57.7,68.3,8622.3
72.9,58.3,61.5,7776
73,58.3,55.2,7324
72.7,57.9,48.4,6742.8
72.8,57.7,42.1,6368.8
72.9,57.5,38,6010
73,58.1,37.5,6092.3
72.8,59.5,41.3,6088
72.9,60.5,48.2,6393
72.9,61.1,54.6,6901.3
72.7,61.5,60.7,7225
72.6,62.1,67.3,7926.3
72.9,62.6,74.4,8264.8
72.9,62.8,78.8,8743.8
72.6,63,80,8720.8
73,63.2,77.3,8470.3
72.9,63.8,69,7490
72.9,63.8,61.7,6887.8
72.9,63.8,55.8,6407.3
72.9,63.4,49.2,5973
72.9,63.2,42.7,5730.8
72.9,63,38.4,5329
67.9,30,36.5,10217.8
67.7,29.4,40.2,10847.5
67.9,29.4,46.4,11463.5
67.7,29.6,52.7,11839.3
68,29.8,57.9,12389.3
67.9,29.8,64.6,13063.5
67.7,30,71,13637
67.9,30.4,78.4,14811.5
67.9,30.6,84.3,15559.8
68,30.8,87.1,16053.3
68,31.3,85.1,15498.3
67.9,31.9,80.6,14556.3
68,32.3,74.8,13746.5
67.6,32.7,68.5,12638.8
67.9,32.7,62.3,12011.3
67.9,32.9,55,11299
67.7,33.1,47.4,10592
67.9,33.1,39.4,9941
67.9,33.1,37.8,9722.3
67.8,34.5,40.7,9877.8
68,35.3,47.2,10111.5
67.7,35.7,53.2,10602
67.9,35.9,59.7,11191
67.9,36.1,66.3,11758.8
67.9,36.5,73.4,12425.8
67.7,36.7,80,13175.5
67.9,36.9,85.3,13895
67.9,37.1,89,14296.5
67.7,37.6,87.3,13788.3
67.9,38.4,81.7,12871.8
68,39,76.3,12100.3
67.8,39.2,69.2,11154
67.9,39.4,63,10539.5
67.8,39.4,56,9653.3
67.9,39.2,48,9023.8
68,39,40.6,8591.5
67.8,39,38.4,8461.3
68,40.2,41.5,8496.8
67.9,40.9,47.2,8889
67.9,41.3,53.4,9317.8
67.9,41.7,59.7,9729.3
67.6,41.7,66.1,10122.5
68,42.1,72.8,10753.3
68,42.3,79.8,11552.8
